,Entity,Code,Year,total_waste,ocean_waste,ocean_waste_%
72,Italy,ITA,2019,38803,414,1.0
73,Jamaica,JAM,2019,49673,2334,5.0
74,Japan,JPN,2019,35684,1835,5.0
75,Jordan,JOR,2019,124425,1,0.0
76,Kazakhstan,KAZ,2019,54242,13,0.0
77,Kenya,KEN,2019,289917,259,0.0
78,Kiribati,KIR,2019,74,0,0.0
79,Kuwait,KWT,2019,2640,7,0.0
80,Latvia,LVA,2019,955,9,1.0
81,Lebanon,LBN,2019,46622,684,1.0
82,Lesotho,LSO,2019,30391,0,0.0
83,Liberia,LBR,2019,39930,2638,7.0
84,Libya,LBY,2019,188535,879,0.0
85,Lithuania,LTU,2019,1037,7,1.0
87,Madagascar,MDG,2019,25250,775,3.0
88,Malaysia,MYS,2019,814454,73098,9.0
89,Maldives,MDV,2019,60,0,0.0
90,Malta,MLT,2019,259,0,0.0
91,Marshall Islands,MHL,2019,16,0,0.0
92,Martinique,MTQ,2019,139,22,16.0
93,Mauritania,MRT,2019,20796,127,1.0
94,Mauritius,MUS,2019,299,0,0.0
95,Mexico,MEX,2019,430614,3512,1.0
97,Monaco,MCO,2019,5,0,0.0
98,Montenegro,MNE,2019,16,0,0.0
99,Morocco,MAR,2019,295488,1800,1.0
100,Mozambique,MOZ,2019,434432,2544,1.0
101,Myanmar,MMR,2019,434432,2544,1.0
102,Namibia,NAM,2019,20892,2,0.0
103,Netherlands,NLD,2019,15233,271,2.0
104,New Zealand,NZL,2019,1714,68,4.0
105,Nicaragua,NIC,2019,110862,1465,1.0
106,Nigeria,NGA,2019,1948950,18640,1.0
108,North Korea,PRK,2019,322,50,16.0
109,Norway,NOR,2019,1494,0,0.0
111,Oman,OMN,2019,1251,1,0.0
112,Pakistan,PAK,2019,1346460,873,0.0
113,Palau,PLW,2019,116,7,6.0
114,Palestine,PSE,2019,2129,118,6.0
115,Panama,PAN,2019,36339,5237,14.0
116,Papua New Guinea,PNG,2019,119538,3059,3.0
117,Peru,PER,2019,140313,259,0.0
118,Philippines,PHL,2019,4025300,356371,9.0
119,Poland,POL,2019,14124,29,0.0
120,Portugal,PRT,2019,3818,76,2.0
121,Puerto Rico,PRI,2019,1293,71,5.0
122,Qatar,QAT,2019,1532,0,0.0
123,Reunion,REU,2019,233,0,0.0
124,Romania,ROU,2019,52161,80,0.0
125,Russia,RUS,2019,363389,542,0.0
126,Saint Kitts and Nevis,KNA,2019,97,1,1.0
127,Saint Lucia,LCA,2019,4276,449,11.0
129,Saint Vincent and the Grenadines,VCT,2019,1235,81,7.0
130,Samoa,WSM,2019,1738,0,0.0
131,Sao Tome and Principe,STP,2019,2069,77,4.0
132,Saudi Arabia,SAU,2019,7176,3,0.0
133,Senegal,SEN,2019,65660,169,0.0
134,Seychelles,SYC,2019,33,0,0.0
135,Sierra Leone,SLE,2019,91239,3624,4.0
136,Singapore,SGP,2019,2468,164,7.0
138,Slovakia,SVK,2019,1719,0,0.0
139,Slovenia,SVN,2019,844,11,1.0
140,Solomon Islands,SLB,2019,3520,100,3.0
141,Somalia,SOM,2019,42,2,5.0
142,South Africa,ZAF,2019,708467,4266,1.0
144,South Korea,KOR,2019,12156,387,3.0
145,Spain,ESP,2019,20350,235,1.0
146,Sri Lanka,LKA,2019,155466,9654,6.0
147,Sudan,SDN,2019,781625,106,0.0
148,Suriname,SUR,2019,22933,1677,7.0
149,Sweden,SWE,2019,4255,36,1.0
150,Syria,SYR,2019,502,44,9.0
151,Taiwan,TWN,2019,7502,531,7.0
152,Tanzania,TZA,2019,1716400,5785,0.0
153,Thailand,THA,2019,1361690,22806,2.0
154,Timor,TLS,2019,17244,715,4.0
155,Togo,TGO,2019,121783,436,0.0
156,Tonga,TON,2019,666,0,0.0
157,Trinidad and Tobago,TTO,2019,73139,3557,5.0
158,Tunisia,TUN,2019,289538,688,0.0
159,Turkey,TUR,2019,1656110,14329,1.0
160,Ukraine,UKR,2019,393777,859,0.0
161,United Arab Emirates,ARE,2019,5135,14,0.0
162,United Kingdom,GBR,2019,29914,703,2.0
163,United States,USA,2019,267469,2431,1.0
164,Uruguay,URY,2019,92620,998,1.0
165,Venezuela,VEN,2019,671431,5988,1.0
166,Vietnam,VNM,2019,1112790,28221,3.0
167,Western Sahara,ESH,2019,4114,38,1.0
169,Yemen,YEM,2019,291737,252,0.0
170,Zimbabwe,ZWE,2019,524865,0,0.0
